cnamelong,county_code,state,state_code,percent_completely_home_device_after_covid,device_count_after_covid,percent_completely_home_device_before,device_count_before,percent_completely_home_device_after_sip,device_count_after_sip
Abbeville County,45001,45.0,SC,0.29085632064598965,1595.9666666666667,0.2512826147457613,1643.5,0.28927481603243754,1622.0333333333333
Acadia Parish,22001,22.0,LA,0.2774897852753552,4169.5,0.19697329914145795,4547.5,0.2774897852753552,4169.5
Accomack County,51001,51.0,VA,0.3293586015502881,1578.5,0.25129213747529866,1637.8,0.33772973059295547,1608.6333333333334
Ada County,16001,16.0,ID,0.3852685188512796,21199.4,0.254268887891492,22976.133333333335,0.4068792408474495,20765.8
Adair County,21001,21.0,KY,0.2950312020747277,723.6153846153846,0.234934707997751,579.3148148148148,0.29919586148700483,656.7906976744187
Adair County,29001,29.0,MO,0.31555863916070087,1351.7666666666667,0.2397095837827366,1495.1333333333334,0.32501320156204805,1284.7666666666667
Adams County,8001,8.0,CO,0.39733629473310084,24805.866666666665,0.2823752052707549,26540.366666666665,0.4409039096812083,24170.933333333334
Adams County,16003,16.0,ID,0.42160796662796823,173.06666666666666,0.26653383242093837,172.4,0.423052333456561,164.73333333333332
Adams County,17001,17.0,IL,0.3407876273036032,4110.566666666667,0.20388336936024673,4528.8,0.34452050101816223,4106.833333333333
Adams County,18001,18.0,IN,0.30080145345323994,1803.2666666666667,0.2342982950672658,1915.5,0.34442321754646815,1768.3333333333333
Adams County,28001,28.0,MS,0.32961709189891525,1462.2333333333333,0.2636504786605214,1510.0,0.3242321091697812,1518.4333333333334
Adams County,39001,39.0,OH,0.3290567784235286,1308.4666666666667,0.25246117165659715,1334.4333333333334,0.3325785145692353,1259.3666666666666
Adams County,42001,42.0,PA,0.41753637416161943,5182.466666666666,0.30077231581184805,5421.5,0.4201251164703731,5286.933333333333
Adams County,53001,53.0,WA,0.33147900864687924,734.4666666666667,0.25187664392967235,753.1666666666666,0.33147900864687924,734.4666666666667
Adams County,55001,55.0,WI,0.3720749649253695,1059.8666666666666,0.26444246706280755,1102.6333333333334,0.3838034657710165,1028.9666666666667
Addison County,50001,50.0,VT,0.36891340868195033,1047.8333333333333,0.24843136251258538,1185.0,0.37951604025475594,1043.4333333333334
