NAME,S2405_C01_001E,S2405_C01_001M,S2405_C01_002E,S2405_C01_002M,S2405_C01_003E,S2405_C01_003M,S2405_C01_004E,S2405_C01_004M,S2405_C01_005E,S2405_C01_005M,S2405_C01_006E,S2405_C01_006M,S2405_C01_007E,S2405_C01_007M,S2405_C01_008E,S2405_C01_008M,S2405_C01_009E,S2405_C01_009M,S2405_C01_010E,S2405_C01_010M,S2405_C01_011E,S2405_C01_011M,S2405_C01_012E,S2405_C01_012M,S2405_C01_013E,S2405_C01_013M,S2405_C01_014E,S2405_C01_014M
"Autauga County, Alabama",24124,0.030550489139446194,0.008829381528768032,0.005264466920908639,0.060023213397446526,0.013596418504393965,0.12945614325982424,0.01952412535234621,0.02719283700878793,0.008746476537887581,0.08928867517824574,0.011565246227822916,0.06984745481677998,0.014176753440557122,0.016290830708008627,0.007005471729398111,0.0625932681147405,0.012560106118388328,0.08945448516000662,0.011979771182225171,0.20079588791245234,0.02192837008787929,0.08124689106284197,0.01604211573536727,0.062468910628419826,0.01280882109102968,0.10251202122367767,0.016829713148731554
"Baldwin County, Alabama",93379,0.01739149059210315,0.013279216954561518,0.0032662590089848893,0.08269525267993874,0.009509632786815023,0.09119823514923056,0.009766649889161377,0.03091701560307992,0.005258141552169117,0.13708649696398548,0.011201662043928506,0.0492509022371197,0.005247432506238019,0.01369686974587434,0.0027200976664988915,0.07398879833795607,0.00760342261107958,0.10644791655511412,0.010023666991507729,0.20088028357553625,0.013461270735390184,0.10083637648721876,0.009274033776330869,0.049058139410359934,0.006928752717420405,0.05066449630002463,0.006468263742383191
"Barbour County, Alabama",8720,0.047821100917431185,0.04518348623853211,0.01743119266055046,0.0625,0.01594036697247706,0.23887614678899086,0.029701834862385326,0.027866972477064218,0.011353211009174313,0.10619266055045873,0.019610091743119267,0.06915137614678897,0.01548165137614679,0.002408256880733945,0.0027522935779816515,0.03967889908256881,0.011238532110091744,0.04770642201834863,0.012270642201834865,0.18646788990825688,0.02442660550458716,0.059174311926605515,0.01353211009174312,0.04380733944954129,0.014564220183486241,0.07098623853211009,0.01594036697247706
"Bibb County, Alabama",8099,0.06025435238918385,0.059883936288430674,0.020990245709346832,0.09013458451660697,0.032473144832695394,0.1870601308803556,0.03975799481417459,0.017162612668230645,0.012100259291270529,0.09149277688603533,0.03086800839609828,0.04889492529941968,0.024077046548956663,0.013088035559945671,0.010124706753920238,0.045808124459809856,0.018520805037658968,0.0469193727620694,0.01765650080256822,0.2280528460303741,0.03716508210890234,0.04395604395604396,0.022348438078775158,0.07482405235214222,0.02642301518706013,0.05272255834053586,0.0216076058772688
"Blount County, Alabama",21346,0.03321465379930666,0.022814578843811488,0.0071207720416003,0.09463131265810924,0.013585683500421624,0.16410568724819638,0.020472219619600864,0.0359786376838752,0.008760423498547738,0.11758643305537338,0.017473999812611263,0.0686311252693713,0.01105593553827415,0.012508198257284737,0.005902745245010775,0.05837159186732877,0.013023517286611077,0.07678253536962429,0.015506418064274337,0.19694556357162932,0.01859833224023236,0.04623817108591774,0.010353227771010965,0.05954277147943408,0.011149629907242574,0.04586339361004404,0.009509978450295137
"Bullock County, Alabama",3940,0.12233502538071064,0.05939086294416244,0.029441624365482238,0.04923857868020305,0.031725888324873094,0.33756345177664976,0.11446700507614213,0.009390862944162436,0.01015228426395939,0.06472081218274113,0.03248730964467005,0.05203045685279188,0.027918781725888325,0.0043147208121827405,0.004822335025380711,0.023096446700507613,0.02106598984771573,0.04949238578680203,0.02614213197969543,0.16218274111675127,0.05964467005076143,0.08197969543147209,0.04035532994923858,0.04111675126903553,0.024111675126903556,0.06548223350253808,0.034263959390862936
"Butler County, Alabama",7885,0.04134432466708941,0.02954977805960685,0.009384908053265695,0.05618262523779328,0.016613823715916298,0.2403297400126823,0.040710209258084974,0.013950538998097652,0.012428662016487,0.11236525047558656,0.025110970196575776,0.04590995561192137,0.011540900443880786,0.01306277742549144,0.006341154090044389,0.030310716550412176,0.011794546607482562,0.04578313253012048,0.011921369689283449,0.2041851616994293,0.03195941661382372,0.10475586556753327,0.02435003170577045,0.0487000634115409,0.012935954343690551,0.0549143944197844,0.015345592897907418
"Calhoun County, Alabama",48157,0.02315343563760201,0.012334655397969142,0.004443798409369354,0.06036505596278838,0.007641672031065058,0.17638141910833316,0.0160516643478622,0.02423323712025251,0.005502834478891957,0.12644060053574765,0.014618850842037503,0.04611998255705297,0.007641672031065058,0.015262578649002222,0.004236144278090413,0.0435243059160662,0.007143302115995598,0.07201445272753701,0.01005045995390078,0.21741387544905205,0.014162011753223831,0.08503436675872666,0.011109496023423386,0.04917249828685342,0.008555350208692402,0.0717029715306186,0.00899142388437818
"Chambers County, Alabama",14786,0.03597998106316786,0.01535236034086298,0.006560259705126471,0.045110239415663465,0.013729203300419315,0.2877722169619911,0.026241038820505883,0.02373867171648857,0.008318679832273773,0.1041525767618017,0.017787095901528473,0.03584471797646422,0.010956310022994723,0.018869200595157586,0.007101312051941026,0.03631813877992696,0.009738942242661978,0.10110915731096984,0.02211551467604491,0.18821858514811307,0.02671445962396862,0.06255917760043284,0.016704991207899363,0.04071418909779522,0.010077099959421076,0.04024076829433248,0.01136209928310564
"Cherokee County, Alabama",9805,0.04467108618052015,0.03335033146353901,0.013156552779194287,0.07261601223865374,0.019173890872004083,0.26272310045894953,0.032024477307496184,0.008975012748597655,0.005609382967873534,0.1101478837327894,0.021621621621621626,0.07383987761346253,0.01835798062213156,0.01030086690464049,0.007241203467618563,0.01835798062213156,0.008261091279959205,0.04711881693013768,0.016828148903620603,0.2325344212136665,0.031310555838857716,0.04681285058643549,0.012544620091789905,0.021621621621621626,0.007955124936257012,0.06160122386537481,0.01723610402855686
"Chilton County, Alabama",17500,0.04228571428571429,0.02702857142857143,0.009485714285714288,0.1544,0.024285714285714285,0.13902857142857142,0.020228571428571433,0.042,0.014628571428571428,0.11771428571428573,0.021028571428571428,0.06468571428571429,0.012685714285714286,0.007085714285714286,0.0034857142857142856,0.056628571428571424,0.010857142857142857,0.06902857142857143,0.013828571428571428,0.158,0.022342857142857143,0.046457142857142864,0.014571428571428572,0.06868571428571428,0.016114285714285713,0.04925714285714286,0.012685714285714286
"Choctaw County, Alabama",4264,0.07106003752345216,0.11937148217636022,0.031425891181988734,0.07082551594746718,0.02345215759849906,0.17073170731707318,0.04151031894934334,0.010787992495309569,0.008208255159474672,0.14634146341463414,0.03635084427767354,0.04620075046904315,0.017589118198874296,0.013133208255159477,0.01102251407129456,0.02204502814258912,0.01102251407129456,0.04596622889305816,0.019465290806754226,0.23921200750469046,0.038696060037523454,0.03330206378986867,0.016416510318949345,0.039868667917448405,0.01876172607879925,0.042213883677298315,0.02274859287054409
"Clarke County, Alabama",7647,0.05453118870145155,0.04524650189616843,0.020269386687589902,0.07676212893945338,0.02236171047469596,0.2402249248071139,0.032561788936837976,0.014646266509742382,0.012815483196024584,0.1238394141493396,0.025892506865437426,0.06473126716359356,0.017784752190401466,0.008761605858506603,0.006930822544788807,0.04132339479534458,0.014384726036354125,0.03870799006146202,0.013338564142801098,0.18399372302863867,0.030077154439649537,0.059892768405910825,0.019223224794036882,0.06316202432326402,0.02223094023800183,0.03870799006146202,0.012684712959330456
"Clay County, Alabama",5542,0.06080837242872609,0.035907614579574164,0.019487549621075424,0.04691447130999639,0.022194153735113683,0.3291230602670516,0.0544929628293035,0.016780945507037168,0.012630819198845185,0.1111512089498376,0.032840129916997474,0.048538433778419335,0.01804402742692169,0.014615662215806569,0.009202453987730062,0.030855286900036086,0.018404907975460124,0.040418621436304585,0.017863587152652467,0.20371706964994588,0.047636232407073265,0.04438830747022735,0.02093107181522916,0.033922771562612766,0.013713460844460484,0.04366654637315049,0.020750631540959942
"Cleburne County, Alabama",5628,0.056680881307746976,0.04744136460554371,0.016702203269367447,0.1257995735607676,0.030561478322672357,0.19367448471926085,0.03464818763326226,0.022032693674484717,0.011904761904761904,0.13486140724946696,0.0314498933901919,0.06467661691542287,0.020966595593461264,0.0031982942430703624,0.0035536602700781805,0.028251599147121536,0.014214641080312722,0.03997867803837953,0.013681592039800995,0.1931414356787491,0.03482587064676617,0.060767590618336885,0.015636105188343994,0.02985074626865672,0.012970859985785359,0.05632551528073916,0.01990049751243781
"Coffee County, Alabama",21725,0.024165707710011503,0.036777905638665134,0.006214039125431532,0.05721518987341773,0.010817031070195628,0.1159493670886076,0.012750287686996549,0.021495972382048333,0.0060759493670886075,0.10973532796317606,0.01422324510932106,0.08313003452243957,0.012336018411967778,0.012013808975834293,0.004142692750287687,0.03963176064441888,0.008147295742232451,0.0733716915995397,0.01095512082853855,0.2275719217491369,0.014177215189873416,0.07544303797468355,0.01095512082853855,0.04823935558112773,0.008929804372842347,0.09942462600690448,0.013532796317606444
"Colbert County, Alabama",22436,0.02611873774291317,0.011142806204314494,0.005883401675878053,0.07871278302727759,0.01279194152255304,0.1943305402032448,0.019299340345872704,0.02143875913710109,0.0054376894277054725,0.13014797646639328,0.013727937243715457,0.05838830451060795,0.012212515599928687,0.012034230700659652,0.006284542699233375,0.04907291852380104,0.011321091103583527,0.06752540559814584,0.011276519878766269,0.2090836156177572,0.01947762524514173,0.0788019254769121,0.014218220716705294,0.04947405954715636,0.009003387413086112,0.03984667498662863,0.007933678017471921
"Conecuh County, Alabama",3892,0.09892086330935253,0.07142857142857142,0.026207605344295996,0.056269270298047284,0.022867420349434738,0.17317574511819114,0.04856115107913669,0.02415210688591984,0.018756423432682426,0.1641829393627955,0.04958890030832477,0.08119218910585818,0.03699897225077081,0.028006166495375132,0.022353545734840698,0.0472764645426516,0.03186022610483042,0.01104830421377184,0.011305241521068859,0.16778006166495374,0.049075025693730734,0.0724563206577595,0.030318602261048305,0.02980472764645426,0.0210688591983556,0.07322713257965056,0.03340184994861254
"Coosa County, Alabama",4110,0.06788321167883211,0.01289537712895377,0.01119221411192214,0.08710462287104623,0.026034063260340638,0.2017031630170316,0.054257907542579066,0.02457420924574209,0.01727493917274939,0.08637469586374696,0.028710462287104624,0.1072992700729927,0.043065693430656936,0.01167883211678832,0.01119221411192214,0.048175182481751816,0.027250608272506083,0.05693430656934306,0.03041362530413625,0.18077858880778588,0.044525547445255484,0.08661800486618004,0.03722627737226277,0.05085158150851581,0.02773722627737226,0.045012165450121655,0.01970802919708029
"Covington County, Alabama",14899,0.027854218403919728,0.0644338546211155,0.01214846634002282,0.06946774951339016,0.011410161755822537,0.14242566615209076,0.018122021612188736,0.0296664205651386,0.0060406738707295795,0.11329619437546146,0.01845761460500705,0.09806027250151016,0.013826431304114371,0.006242029666420565,0.0032888113296194376,0.034566078260285925,0.007785757433384791,0.09369756359487214,0.016913886838042822,0.18605275521847106,0.019195919189207333,0.05725216457480368,0.012618296529968454,0.046983018994563384,0.012416940734277468,0.057856231961876635,0.014162024296932682
