index,cnamelong,county_code,state,state_code,percent_completely_home_device_after_covid,device_count_after_covid,percent_completely_home_device_before,device_count_before,percent_completely_home_device_after_sip,device_count_after_sip,NAME,S2405_C01_001E,S2405_C01_001M,S2405_C01_002E,S2405_C01_002M,S2405_C01_003E,S2405_C01_003M,S2405_C01_004E,S2405_C01_004M,S2405_C01_005E,S2405_C01_005M,S2405_C01_006E,S2405_C01_006M,S2405_C01_007E,S2405_C01_007M,S2405_C01_008E,S2405_C01_008M,S2405_C01_009E,S2405_C01_009M,S2405_C01_010E,S2405_C01_010M,S2405_C01_011E,S2405_C01_011M,S2405_C01_012E,S2405_C01_012M,S2405_C01_013E,S2405_C01_013M,S2405_C01_014E,S2405_C01_014M
0,Abbeville County,45001,45.0,SC,0.29085632064598965,1595.966666666667,0.2512826147457613,1643.5,0.28927481603243754,1622.033333333333,"Abbeville County, South Carolina",9748,0.04862535904800985,0.01661879359868691,0.008104226508001642,0.08042675420599098,0.02031185884283956,0.2389208042675421,0.033340172343044726,0.01784981534673779,0.010361099712761591,0.08309396799343455,0.02185063602790316,0.037340993024210095,0.011694706606483382,0.018670496512105048,0.009848173984407058,0.02923676651620845,0.009745588838736151,0.08606893721789086,0.026569552728764875,0.24312679524004924,0.026774723020106687,0.06473122691834222,0.02031185884283956,0.04985638079606073,0.013541239228559704,0.03405826836274108,0.014259335248256053
1,Acadia Parish,22001,22.0,LA,0.2774897852753552,4169.5,0.19697329914145795,4547.5,0.2774897852753552,4169.5,"Acadia Parish, Louisiana",25356,0.03076194983435873,0.1224956617763054,0.016169742861650103,0.07706262817479098,0.01171320397539044,0.0987143082505127,0.01818110112005048,0.032970500078876794,0.011318820003155072,0.14028237892412052,0.02121785770626282,0.05324183625177474,0.010648367250354946,0.016169742861650103,0.007927117841930904,0.030604196245464583,0.008163748225272126,0.0585660198769522,0.013409055056002523,0.2120602618709576,0.01822053951727402,0.06665089130777725,0.014395014986590944,0.053912289004574857,0.011989272755955198,0.03726928537624232,0.010056791292001894
2,Accomack County,51001,51.0,VA,0.3293586015502881,1578.5,0.25129213747529866,1637.8,0.3377297305929555,1608.6333333333334,"Accomack County, Virginia",13817,0.04870811319389158,0.056814069624375775,0.017008033581819498,0.08337555185640877,0.017297532025765363,0.17710067308388214,0.02837084750669465,0.029673590504451036,0.009336324817254106,0.10125208077006588,0.01946877035535934,0.03495693710646305,0.008323080263443585,0.004776724325106753,0.003980603604255627,0.025475863067236013,0.010132445538105229,0.07888832597524788,0.019758268799305204,0.2036621553159152,0.03321994644278787,0.07910544980820729,0.02069913874212926,0.03640442932619237,0.01302742997756387,0.08851414923644785,0.01896214807845408
3,Ada County,16001,16.0,ID,0.3852685188512796,21199.4,0.254268887891492,22976.13333333333,0.4068792408474495,20765.8,"Ada County, Idaho",221254,0.011470979055745885,0.014512731973207262,0.00280672891789527,0.06084861742612562,0.004655283068328708,0.08764135337666212,0.005821363681560559,0.028297793486219462,0.003525359993491643,0.11789165393620002,0.006942247371798928,0.04321277807406872,0.004361503068871071,0.021292270422229656,0.003245139070932051,0.07092753125367225,0.004628164914532619,0.12930839668435373,0.006612309833946505,0.23071673280483065,0.007981776600649028,0.09133394198522964,0.0063908449112784396,0.04332577038155242,0.0038643369159427625,0.06069042819564844,0.0043298652227756335
4,Adair County,21001,21.0,KY,0.2950312020747277,723.6153846153846,0.234934707997751,579.3148148148148,0.29919586148700483,656.7906976744188,"Adair County, Kentucky",8020,0.043266832917705736,0.03204488778054864,0.011596009975062344,0.09513715710723193,0.024812967581047386,0.18940149625935165,0.030548628428927683,0.01197007481296758,0.006608478802992519,0.106857855361596,0.025187032418952617,0.05910224438902744,0.01895261845386533,0.01197007481296758,0.006483790523690773,0.029800498753117206,0.01197007481296758,0.041895261845386535,0.013965087281795513,0.2706982543640898,0.03167082294264339,0.07169576059850374,0.02406483790523691,0.04039900249376559,0.016084788029925186,0.039027431421446386,0.014089775561097256
5,Adair County,29001,29.0,MO,0.3155586391607009,1351.7666666666667,0.2397095837827366,1495.1333333333334,0.32501320156204805,1284.7666666666667,"Adair County, Missouri",10827,0.04220929158585019,0.02170499676734091,0.00886672208367969,0.06086635263692621,0.015516763646439457,0.0835873279763554,0.02068901819525261,0.020781379883624274,0.010713955851112959,0.11360487669714606,0.018379975985961024,0.02281333702780087,0.006927126627874758,0.018934146116191004,0.011268125981342941,0.038976632492841966,0.010529232474369632,0.07869215849265725,0.02004248637665097,0.3651981158215572,0.03482035651611712,0.08460330654844371,0.019580677934792647,0.04932114159046827,0.010991040916227948,0.0409162279486469,0.011360487669714602
6,Adams County,8001,8.0,CO,0.3973362947331008,24805.866666666665,0.2823752052707549,26540.366666666665,0.4409039096812083,24170.93333333333,"Adams County, Colorado",255711,0.008036416110374603,0.01687060783462581,0.002013992358561032,0.12375298677022108,0.005459288024371263,0.08125970333697025,0.003668203557922811,0.034902683107101366,0.002604502739420675,0.11828587741630199,0.004575477785468752,0.07239813695930171,0.0035626156090273788,0.02579083418390293,0.002154776290421609,0.050201203702617415,0.002757018665602966,0.11456683521631846,0.005365432069797545,0.1738877091716821,0.005111238859493725,0.09681632780756401,0.004962633598085338,0.049031914935219835,0.0033397077169147983,0.042235179558173096,0.002522378779168671
7,Adams County,16003,16.0,ID,0.4216079666279681,173.06666666666663,0.2665338324209384,172.4,0.42305233345656107,164.73333333333332,"Adams County, Idaho",1517,0.07251153592617007,0.14040870138431116,0.03691496374423204,0.0955833882663151,0.032300593276203035,0.08174027686222808,0.025708635464733027,0.004614370468029005,0.005932762030323007,0.0942649967040211,0.03493737640079104,0.037574159525379035,0.017139090309822018,0.014502307185234016,0.011206328279499007,0.03823335530652604,0.021753460777851025,0.1034937376400791,0.032300593276203035,0.1924851680949242,0.042847725774555034,0.14040870138431116,0.04746209624258405,0.012524719841793012,0.012524719841793012,0.04416611733684905,0.017798286090969017
8,Adams County,17001,17.0,IL,0.3407876273036032,4110.566666666667,0.20388336936024676,4528.8,0.34452050101816223,4106.833333333333,"Adams County, Illinois",32501,0.018060982738992648,0.02439924925386911,0.0043383280514445715,0.056705947509307415,0.00929202178394511,0.1381803636811175,0.012522691609488941,0.046890864896464726,0.006615181071351651,0.1461185809667395,0.013999569244023263,0.05264453401433802,0.008922802375311529,0.01473800806129042,0.0043690963354973715,0.05365988738808037,0.005630595981662103,0.059013568813267275,0.00833820497830836,0.2584228177594536,0.01436878865265684,0.08064367250238454,0.01058428971416264,0.03962954986000431,0.006522876219193256,0.028952955293683268,0.0058767422540844895
9,Adams County,18001,18.0,IN,0.30080145345323994,1803.2666666666669,0.2342982950672658,1915.5,0.3444232175464681,1768.333333333333,"Adams County, Indiana",15536,0.02407312049433573,0.027033985581874358,0.008689495365602472,0.08856848609680741,0.015190525231719876,0.3108908341915551,0.025102986611740475,0.02388002059732235,0.00856076210092688,0.09828784757981462,0.015319258496395469,0.032762615859938206,0.009654994850669412,0.01821575695159629,0.007080329557157571,0.03759011328527292,0.00888259526261586,0.0575437693099897,0.0115216271884655,0.17024974253347064,0.01660659114315139,0.05284500514933059,0.012873326467559218,0.060504634397528324,0.013516992790937179,0.021627188465499485,0.00856076210092688
