state,state_code,State Name,cnamelong,county_code,%diff_stay_at_home,SIP?,Median Household Income,% Rural,Population_y,political_diff,% less than 18 years of age,% 65 and over,% Asian,% Black
1.0,AL,Alabama,Autauga County,1001,0.11983891089935822,1,59338.0,42.0,55601,-0.494789343497,23.7,15.6,1.2,19.3
1.0,AL,Alabama,Baldwin County,1003,0.11231890213294464,1,57588.0,42.3,218022,-0.577861621851,21.6,20.4,1.2,8.8
1.0,AL,Alabama,Barbour County,1005,0.06986006617319533,1,34382.0,67.8,24881,-0.05611164581299999,20.9,19.4,0.5,48.0
1.0,AL,Alabama,Bibb County,1007,0.08907351860782686,1,46064.0,68.4,22400,-0.555441243713,20.5,16.5,0.2,21.1
1.0,AL,Alabama,Blount County,1009,0.0982402789985694,1,50412.0,90.0,57840,-0.8138197289634,23.2,18.2,0.3,1.5
1.0,AL,Alabama,Bullock County,1011,0.06304790497652663,1,29267.0,51.4,10138,0.508615188257,21.1,16.4,0.2,69.5
1.0,AL,Alabama,Butler County,1013,0.08989580991973434,1,37365.0,71.2,19680,-0.135290731145,22.2,20.3,1.3,44.6
1.0,AL,Alabama,Calhoun County,1015,0.0959881365474656,1,45400.0,33.7,114277,-0.41383823032799993,21.6,17.7,1.0,20.9
1.0,AL,Alabama,Chambers County,1017,0.10224943218571644,1,39917.0,49.1,33615,-0.14806212803000007,20.8,19.5,1.3,39.6
1.0,AL,Alabama,Cherokee County,1019,0.07221451149244876,1,42132.0,85.7,26032,-0.6936113491379999,19.2,23.0,0.3,4.2
1.0,AL,Alabama,Chilton County,1021,0.08554878027180779,1,47547.0,86.7,44153,-0.66606409203,23.8,16.8,0.5,10.0
1.0,AL,Alabama,Choctaw County,1023,0.08075832057808957,1,39907.0,100.0,12841,-0.13662630710000007,20.0,23.0,0.2,41.5
1.0,AL,Alabama,Clarke County,1025,0.07640895325841382,1,40741.0,76.0,23920,-0.10799319727899998,21.7,19.9,0.4,44.3
1.0,AL,Alabama,Clay County,1027,0.06438903158629286,1,39201.0,100.0,13275,-0.6080340839930001,20.2,20.7,0.2,13.8
1.0,AL,Alabama,Cleburne County,1029,0.08408305419516521,1,46495.0,100.0,14987,-0.773729332517,22.8,19.5,0.2,2.9
1.0,AL,Alabama,Coffee County,1031,0.10222090708986696,1,55122.0,47.2,51909,-0.567006288695,23.7,17.0,1.6,17.2
1.0,AL,Alabama,Colbert County,1033,0.09722876693884976,1,49055.0,43.9,54762,-0.38260375213199993,20.8,19.9,0.6,16.0
1.0,AL,Alabama,Conecuh County,1035,0.06065069457187393,1,32613.0,80.9,12277,-0.05257527128299999,20.8,22.5,0.2,45.7
1.0,AL,Alabama,Coosa County,1037,0.072937495781599,1,42423.0,100.0,10715,-0.30557151062599996,16.6,23.2,0.1,30.5
1.0,AL,Alabama,Covington County,1039,0.06390777415712576,1,40203.0,69.7,36986,-0.6854848906309999,21.9,21.1,0.5,12.4
1.0,AL,Alabama,Crenshaw County,1041,0.07401164292295034,1,39057.0,100.0,13824,-0.4555342290469999,22.9,19.0,1.1,23.2
1.0,AL,Alabama,Cullman County,1043,0.08904374809985219,1,45796.0,73.2,83442,-0.778046032512,22.5,18.5,0.7,1.2
1.0,AL,Alabama,Dale County,1045,0.07713385493854946,1,45309.0,50.9,48956,-0.504377719289,23.0,16.9,1.4,20.5
1.0,AL,Alabama,Dallas County,1047,0.07201615389935329,1,34035.0,45.6,38310,0.37597437266399997,23.8,18.1,0.6,70.1
1.0,AL,Alabama,DeKalb County,1049,0.07975637983473663,1,39491.0,90.1,71385,-0.693743770605,24.1,17.3,0.5,1.4
1.0,AL,Alabama,Elmore County,1051,0.10966961438419752,1,60367.0,54.2,81887,-0.519794065844,22.2,15.1,0.7,21.2
1.0,AL,Alabama,Escambia County,1053,0.0759128342959711,1,38418.0,63.5,36748,-0.36705449286800007,22.4,17.9,0.3,31.4
1.0,AL,Alabama,Etowah County,1055,0.0983412174499125,1,44903.0,37.5,102501,-0.5010351014400001,21.5,19.0,0.8,15.5
1.0,AL,Alabama,Fayette County,1057,0.08063351270248545,1,39254.0,80.2,16433,-0.6523914104440001,21.1,21.1,0.4,11.9
1.0,AL,Alabama,Franklin County,1059,0.0933983405314304,1,39388.0,70.4,31363,-0.6080301129230001,24.5,16.9,0.3,3.9
