county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1001,0,5124,0.1847990583,0.1868410777,0.1172827923,0.04234724743,751.5587661,285.9850345
1001,1,5062,0.1726425242,0.1987327189,0.1453093812,0.03632734531,735.2918587,343.7410115
1001,2,5075,0.1540215589,0.2159295577,0.1389393389,0.03669154229,727.6231995,357.0995074
1001,3,5040,0.1582595302,0.2115902965,0.1384289565,0.03927608779,731.9716981,353.5350404
1001,4,5066,0.1548961424,0.2007898566,0.1131069878,0.05756676558,691.0785361,341.6204106
1001,5,5268,0.2211177794,0.0998003992,0.02774451098,0.02794292509,856.0301229,149.2940781
1001,6,5174,0.2443963822,0.1055440771,0.02479338843,0.02607248521,966.3092804,132.8831361
1003,0,19461,0.2082496586,0.1689185845,0.09294729027,0.02785035009,723.4058887,224.3411532
1003,1,19275,0.1750972763,0.1908796546,0.1203631647,0.02623072439,695.2428494,293.4605966
1003,2,19130,0.1638296785,0.1881844065,0.1195238735,0.02201637804,702.1472167,310.0981704
1003,3,19083,0.1702407232,0.1891905531,0.1147052887,0.02662055232,681.1633554,302.8994752
1003,4,19108,0.1578919824,0.1820822275,0.1014234875,0.036474828,642.2126242,318.7866862
1003,5,20066,0.2268198856,0.1049100828,0.03316979522,0.01940118505,761.3686225,137.9250758
1003,6,19591,0.2661934805,0.09175434304,0.02631139325,0.01986787375,864.4277077,124.3216783
1005,0,1578,0.2035561006,0.1741130092,0.1011826544,0.04180274331,616.4067017,288.2647832
1005,1,1555,0.1971920868,0.1805463025,0.1046585833,0.03730846103,599.74791,303.1729904
1005,2,1548,0.1859364435,0.1726027397,0.1179775281,0.03583502366,613.1776486,299.4224806
1005,3,1513,0.1738268341,0.172,0.1083939194,0.0343688037,607.5387597,293.4457418
1005,4,1570,0.1667752443,0.1700325733,0.08925081433,0.05414012739,569.8647907,293.9752917
1005,5,1607,0.2466174662,0.09048843188,0.02463676563,0.02711640212,652.8723545,151.699262
1005,6,1614,0.275944811,0.09898020396,0.03419316137,0.03539292142,758.6845387,138.7993506
1007,0,1870,0.1690885073,0.1860584316,0.09687362395,0.03856454205,719.5835616,272.7877587
1007,1,1889,0.1671031954,0.1973404255,0.1455142232,0.0344097406,695.2293359,334.2521882
1007,2,1878,0.1505073281,0.198421646,0.1395101171,0.03490566038,707.6115926,350.8954758
1007,3,1880,0.1540648096,0.1944286526,0.1427088739,0.03405405405,697.4997405,350.6340426
1007,4,1899,0.1381987578,0.1848114711,0.1361283644,0.05416887945,657.6821946,346.2854134
1007,5,1951,0.211093161,0.08885298869,0.02290473712,0.03383654347,830.1411765,157.7253197
1007,6,1905,0.2472440945,0.09804902451,0.02851425713,0.024012006,883.4667019,152.6568284
1009,0,5822,0.1738212526,0.1593826626,0.1226020482,0.04226077993,729.4982824,279.7477283
1009,1,5820,0.1622629779,0.1816151203,0.1507573089,0.03456061132,716.8698485,343.9556337
1009,2,5828,0.1532258065,0.1849691146,0.1351124538,0.03277168032,708.858006,353.483871
1009,3,5802,0.1552909609,0.1876624502,0.1387452603,0.03136849362,718.6584647,345.5956733
1009,4,5798,0.1487464244,0.184373922,0.1285546021,0.04829210836,673.9209964,350.5429458
1009,5,5948,0.2076348548,0.103628447,0.02975790182,0.02418110101,848.6458406,154.8944398
1009,6,5872,0.2382493188,0.102425876,0.02590595987,0.02261156035,927.0170648,150.841039
1011,0,556,0.226618705,0.1600719424,0.1082802548,0.02621722846,514.0089928,250.0875796
1011,1,564,0.2111692845,0.1603206413,0.1223404255,0.02404809619,501.0469799,263.292543
1011,2,535,0.214953271,0.1757009346,0.1318493151,0.03424657534,540.5685558,270.8087318
1011,3,551,0.2065217391,0.1796733212,0.1252446184,0.02173913043,503.9882583,279.4970646
1011,4,539,0.2059369202,0.1452513966,0.1173184358,0.03867403315,504.5452716,273.2067039
1011,5,565,0.234521576,0.0910623946,0.02477876106,0.01876172608,575.6155143,142.7379679
1011,6,566,0.2995090016,0.1046099291,0.04258675079,0.02681388013,615.1498423,114.5992908
1013,0,1318,0.1902834008,0.1638846737,0.12215478,0.0407523511,637.3846737,277.7116129
1013,1,1296,0.177672956,0.1823899371,0.1257861635,0.03459119497,626.5724876,305.2125206
1013,2,1278,0.1737089202,0.1967905405,0.1273148148,0.02618883529,626.5725742,324.5242567
1013,3,1291,0.1845775226,0.1894995898,0.123088685,0.03440366972,623.9715004,306.6611977
1013,4,1309,0.1653963415,0.1816693944,0.09583660644,0.04201680672,575.2559206,308.1423895
1013,5,1341,0.2185534591,0.09014514897,0.02673796791,0.02044025157,714.9393548,150.049217
